NORAD_CAT_ID,SATNAME,PER_ALT,APO_ALT,LAT,LON,TLE_LINE1,TLE_LINE2,SATNAME_CLEAN,SAT_GROUP,Inc
13229,COSMOS 1260 DEB,172.1,211.2,,,1 13229U 81028 AL 89047.39002344  .08310305 +31900-4 +15399-2 0  9995,2 13229 064.9743 045.4411 0029714 022.9410 336.7546 16.30336667325850,COSMOS 1260 DEB,COSMOS,65.0
13230,COSMOS 1260 DEB,392.4,737.4,,,1 13230U 81028 AM 82148.58143923  .01252800 +00000-0 +50479-1 0  9990,2 13230 064.9919 273.5798 0248470 322.0142 035.6246 15.00637748065502,COSMOS 1260 DEB,COSMOS,65.0
13231,COSMOS 1260 DEB,427.9,695.4,,,1 13231U 81028 AN 82155.45113222  .00246543 +00000-0 +12601-1 0  9995,2 13231 064.9369 251.5258 0192738 313.6185 044.5101 15.01694410066529,COSMOS 1260 DEB,COSMOS,64.9
13232,COSMOS 1260 DEB,444.5,732.6,,,1 13232U 81028 AP 82173.46191909  .00036715 +00000-0 +23150-2 0  9995,2 13232 065.0196 197.1010 0206774 312.3027 046.2033 14.93007703068537,COSMOS 1260 DEB,COSMOS,65.0
13233,COSMOS 1260 DEB,265.2,296.8,,,1 13233U 81028 AQ 82342.55270659  .20498809 +01610-6 +03958-2 0  9990,2 13233 064.9864 012.1479 0023761 257.0847 102.9761 15.97626400032187,COSMOS 1260 DEB,COSMOS,65.0
13234,COSMOS 1260 DEB,424.6,673.1,,,1 13234U 81028 AR 82220.02600687  .00089472 +00000-0 +42546-2 0  9998,2 13234 065.0421 050.6645 0179394 288.8167 069.3571 15.05855852013674,COSMOS 1260 DEB,COSMOS,65.0
13235,COSMOS 1260 DEB,367.7,491.9,,,1 13235U 81028 AS 82286.81051411  .00768991 +00000-0 +03532-2 0  9995,2 13235 065.0180 197.4731 0091263 257.6300 100.9420 15.45539379086317,COSMOS 1260 DEB,COSMOS,65.0
13236,COSMOS 1260 DEB,446.8,716.7,-15.05120334,-157.3026973,1 13236U 81028 AT 82175.39423711  .00030506 +00000-0 +08995-3 0  9995,2 13236 065.0628 190.8115 0193916 308.3284 050.2821 14.95203972006653,COSMOS 1260 DEB,COSMOS,65.1
13240,SL-6 DEB,212.5,619.2,,,1 13240U 82050  D 82152.00501017  .00422492 +74259-5 +95705-3 0  9991,2 13240 062.8414 155.7292 0299332 120.5272 242.5763 15.50290165000480,SL-6 DEB,SL-6,62.8
13246,COSMOS 1335 DEB,225.7,247,,,1 13246U 82007  F 82229.07777754  .16812581 +93055-6 +13567-1 0  9993,2 13246 074.0269 235.8866 0016104 232.2856 135.9024 16.13833641030580,COSMOS 1335 DEB,COSMOS,74.0
13247,COSMOS 1335 DEB,306,337.3,,,1 13247U 82007  G 82224.10832903  .03284212 +00000-0 +15031-1 0  9991,2 13247 074.0326 246.6470 0023388 258.1126 110.6717 15.83110046029800,COSMOS 1335 DEB,COSMOS,74.0
13248,COSMOS 1335 DEB,221.2,245,,,1 13248U 82007  H 82223.18545113  .16784515 +11577-5 +12382-1 0  9990,2 13248 074.0206 247.9850 0018016 257.0872 109.1684 16.15023486029681,COSMOS 1335 DEB,COSMOS,74.0
13249,COSMOS 1335 DEB,234.6,262.2,,,1 13249U 82007  J 82214.21563664  .10321355 +76361-6 +11056-1 0  9999,2 13249 074.0185 266.9607 0020842 282.6373 077.5937 16.09435775028318,COSMOS 1335 DEB,COSMOS,74.0
13250,COSMOS 1335 DEB,218.3,245.9,,,1 13250U 82007  K 82210.19758118  .09471292 +12711-5 +67451-2 0  9997,2 13250 074.0118 275.6720 0020877 302.7842 056.7443 16.15373809027699,COSMOS 1335 DEB,COSMOS,74.0
13251,COSMOS 1335 DEB,321.6,357.5,,,1 13251U 82007  L 82202.55764056  .02032609 +00000-0 +12351-1 0  9996,2 13251 074.0435 293.0582 0026733 288.6821 070.7237 15.76801425026498,COSMOS 1335 DEB,COSMOS,74.0
13252,COSMOS 1335 DEB,221.2,250.2,,,1 13252U 82007  M 82205.18597410  .11543377 +13078-5 +89805-2 0  9999,2 13252 074.0036 286.4202 0021972 297.0538 062.8294 16.14076684026927,COSMOS 1335 DEB,COSMOS,74.0
13255,COSMOS 1368 DEB,175.8,188.1,,,1 13255U 82046  D 82156.46194866  .07741466 +15868-4 +11662-2 0  9997,2 13255 070.3459 068.4857 0009343 315.7020 090.9320 16.33944815002404,COSMOS 1368 DEB,COSMOS,70.3
13261,SL-8 DEB,988,990.6,55.38574864,43.7354149,1 13261U 82055C   25330.54965480 -.00000019  00000-0  66723-4 0  9996,2 13261  65.8358 339.5580 0001806 111.7494 331.1569 13.72869728178305,SL-8 DEB,SL-8,65.8
13268,COSMOS 1369 DEB,198.4,230.1,,,1 13268U 82048  E 82164.31878738  .03610322 -93671-5 +15484-2 0  9991,2 13268 082.3112 022.1129 0024027 253.4131 106.4543 16.21961123003053,COSMOS 1369 DEB,COSMOS,82.3
13270,SALYUT 7 DEB,259.4,282.6,,,1 13270U 82033  E 82171.62029232  .00813920 +57258-5 +14148-2 0  9999,2 13270 051.6341 190.7877 0017411 326.5757 033.4278 16.01231803009802,SALYUT 7 DEB,SALYUT,51.6
13274,SALYUT 7 DEB,263.1,287.7,,,1 13274U 82033  F 82174.39508613  .00656556 +03857-6 +02489-3 0  9998,2 13274 051.6316 176.3169 0018497 310.4903 049.2228 15.99653435010247,SALYUT 7 DEB,SALYUT,51.6
13275,SALYUT 7 DEB,266.6,286.5,,,1 13275U 82033  G 82171.44593976  .00676693 +51156-5 +13277-2 0  9992,2 13275 051.6217 191.8528 0014945 302.2997 053.9271 15.99229562009771,SALYUT 7 DEB,SALYUT,51.6
13276,COSMOS 1373 DEB,170.4,189.7,,,1 13276U 82053  C 82199.70492044  .21168488 +16566-4 +28853-2 0  9990,2 13276 070.3621 358.3226 0014697 265.9522 094.1082 16.34657159007263,COSMOS 1373 DEB,COSMOS,70.4
13277,COSMOS 1373 DEB,241.7,256.2,,,1 13277U 82053  D 82218.62954243  .01852446 +23881-5 +20476-2 0  9992,2 13277 070.3536 304.8427 0010934 258.9048 101.0873 16.09241016010266,COSMOS 1373 DEB,COSMOS,70.4
13279,COSMOS 1373 DEB,202.2,233.5,,,1 13279U 82053  F 82217.77716461  .17879624 +55427-5 +83923-2 0  9998,2 13279 070.3494 313.0944 0023729 263.5720 107.7931 16.20609895009994,COSMOS 1373 DEB,COSMOS,70.3
13287,SALYUT 7 DEB,180.5,212.7,,,1 13287U 82033  H 82183.41202507  .15441690 +54316-4 +34522-2 0  9991,2 13287 051.6279 128.9777 0024454 161.8418 193.2476 16.28486920011686,SALYUT 7 DEB,SALYUT,51.6
13290,COSMOS 1376 DEB,216.6,273.6,,,1 13290U 82056  E 82173.17527640  .00114752 -25854-5 +10190-3 0  9993,2 13290 082.4452 023.0059 0043021 352.7317 012.1465 16.10642343002235,COSMOS 1376 DEB,COSMOS,82.4
13291,SALYUT 7 DEB,199,205,,,1 13291U 82033  J 82189.24255500  .04503589 +54387-4 +13204-2 0  9990,2 13291 051.6178 096.9035 0004584 345.4207 016.4808 16.26492472012625,SALYUT 7 DEB,SALYUT,51.6
13299,SALYUT 7 DEB,189.8,205.5,,,1 13299U 82033  K 82192.19245142  .04771299 +54382-4 +11890-2 0  9996,2 13299 051.5962 081.2055 0011870 293.0269 070.6842 16.28098634013090,SALYUT 7 DEB,SALYUT,51.6
13305,COSMOS 1381 DEB,183.4,200.5,,,1 13305U 82062  C 82223.30220828  .17314059 +15900-4 +37122-2 0  9998,2 13305 070.3598 356.4999 0013064 292.7811 067.8828 16.30222256008438,COSMOS 1381 DEB,COSMOS,70.4
13306,COSMOS 1381 DEB,175.7,184.2,21.05426651,60.3290217,1 13306U 82062  D 82253.75948066  .10758244 +05210-5 +05132-3 0  9994,2 13306 070.3515 271.1011 0006415 255.3234 122.3550 16.34695053013249,COSMOS 1381 DEB,COSMOS,70.4
